iter	Passed	Remaining
780	15274	4283
781	15291	4262
782	15313	4244
783	15333	4224
784	15350	4204
785	15367	4183
786	15386	4164
787	15403	4144
788	15419	4123
789	15440	4104
790	15457	4084
791	15475	4064
792	15493	4044
793	15511	4024
794	15535	4005
795	15554	3986
796	15568	3965
797	15585	3945
798	15603	3925
799	15619	3904
800	15656	3889
801	15671	3868
802	15691	3849
803	15708	3829
804	15726	3809
805	15742	3789
806	15764	3770
807	15780	3749
808	15809	3732
809	15829	3713
810	15846	3693
811	15863	3672
812	15880	3652
813	15908	3635
814	15924	3614
815	15946	3595
816	15964	3575
817	15984	3556
818	16005	3537
819	16034	3519
820	16051	3499
821	16072	3480
822	16111	3465
823	16135	3446
824	16156	3427
825	16194	3411
826	16212	3391
827	16231	3371
828	16248	3351
829	16268	3332
830	16290	3312
831	16316	3294
832	16337	3275
833	16355	3255
834	16372	3235
835	16390	3215
836	16412	3196
837	16430	3176
838	16445	3155
839	16462	3135
840	16478	3115
841	16498	3095
842	16519	3076
843	16535	3056
844	16552	3036
845	16570	3016
846	16586	2996
847	16606	2976
848	16624	2956
849	16640	2936
850	16659	2916
851	16682	2897
852	16698	2877
853	16714	2857
854	16729	2837
855	16760	2819
856	16776	2799
857	16793	2779
858	16807	2758
859	16823	2738
860	16838	2718
861	16854	2698
862	16870	2678
863	16887	2658
864	16904	2638
865	16922	2618
866	16939	2598
867	16958	2579
868	16976	2559
869	16990	2538
870	17006	2518
871	17024	2499
872	17041	2479
873	17060	2459
874	17076	2439
875	17091	2419
876	17108	2399
877	17124	2379
878	17142	2359
879	17159	2339
880	17175	2319
881	17192	2300
882	17210	2280
883	17226	2260
884	17241	2240
885	17257	2220
886	17275	2200
887	17293	2181
888	17311	2161
889	17329	2141
890	17346	2122
891	17367	2102
892	17385	2083
893	17413	2064
894	17429	2044
895	17445	2024
896	17461	2005
897	17477	1985
898	17493	1965
899	17510	1945
900	17526	1925
901	17543	1906
902	17559	1886
903	17577	1866
904	17592	1846
905	17610	1827
906	17628	1807
907	17644	1787
908	17661	1768
909	17677	1748
910	17694	1728
911	17712	1709
912	17730	1689
913	17746	1669
914	17762	1650
915	17778	1630
916	17794	1610
917	17811	1591
918	17828	1571
919	17843	1551
920	17858	1531
921	17874	1512
922	17893	1492
923	17913	1473
924	17934	1454
925	17951	1434
926	17990	1416
927	18009	1397
928	18025	1377
929	18040	1357
930	18056	1338
931	18073	1318
932	18089	1298
933	18106	1279
934	18122	1259
935	18142	1240
936	18157	1220
937	18172	1201
938	18189	1181
939	18206	1162
940	18224	1142
941	18241	1123
942	18255	1103
943	18272	1083
944	18288	1064
945	18306	1044
946	18341	1026
947	18357	1006
948	18372	987
949	18389	967
950	18406	948
951	18421	928
952	18438	909
953	18454	889
954	18470	870
955	18488	850
956	18515	831
957	18539	812
958	18561	793
959	18592	774
960	18611	755
961	18627	735
962	18643	716
963	18657	696
964	18675	677
965	18692	657
966	18710	638
967	18727	619
968	18743	599
969	18758	580
970	18775	560
971	18791	541
972	18810	521
973	18826	502
974	18842	483
975	18859	463
976	18876	444
977	18892	424
978	18911	405
979	18927	386
980	18945	366
981	18961	347
982	18977	328
983	18995	308
984	19011	289
985	19028	270
986	19046	250
987	19062	231
988	19084	212
989	19103	192
990	19119	173
991	19135	154
992	19166	135
993	19181	115
994	19200	96
995	19218	77
996	19235	57
997	19251	38
998	19269	19
999	19288	0
